item_id,title,description,url,brand,seller_name,image_url,availability,price,condition,product_category,mpn,seller_url,shipping_price,accepts_returns,target_countries,store_country,is_digital,seller_tos,seller_privacy_policy,return_deadline_in_days,return_policy,length,width,height,dimensions_unit,weight,item_weight_unit,shipping
TR-2609-01,"Electrónica de consumo · Lote de devoluciones de Amazon, 42 unidades","Auriculares, altavoces Bluetooth, smartwatches, tablets y accesorios de carga. Lote cerrado de 42 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 12 auriculares inalámbricos (diadema y true wireless); 6 altavoces Bluetooth portátiles; 5 smartwatches y pulseras de actividad; 3 tablets de 10 pulgadas; 8 cargadores rápidos y baterías externas; 8 accesorios: cables, hubs USB-C, soportes. Todo probado: enciende, carga y empareja. El 70 % conserva su caja original. Formato Caja 60×40×40 cm, 19 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/electronica.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-electronica.webp,in_stock,549.00 EUR,used,Electrónica,TR-2609-01,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,60,40,40,cm,19,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-02,"Pequeño electrodoméstico · Lote de devoluciones de Amazon, 14 unidades","Freidoras de aire, batidoras, cafeteras de cápsulas, un robot aspirador y tostadoras. Lote cerrado de 14 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado B. Contenido: 4 freidoras de aire (3,5 a 5,5 litros); 3 batidoras de vaso y de mano; 2 cafeteras de cápsulas; 1 robot aspirador con base de carga; 2 tostadoras y 2 hervidores eléctricos. Grado B: marcas de uso leves, alguna caja golpeada. Todos funcionan. Formato Caja 80×60×60 cm, 38 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/hogar-cocina.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-hogar-cocina.webp,in_stock,429.00 EUR,used,Hogar y cocina,TR-2609-02,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,80,60,60,cm,38,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-03,"Juguetes y juegos · Lote de devoluciones de Amazon, 64 unidades","Sets de construcción, peluches, juegos de mesa, coches teledirigidos, muñecas y puzles. Lote cerrado de 64 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 14 sets de construcción por piezas; 12 peluches y muñecos blandos; 10 juegos de mesa familiares; 6 coches y drones teledirigidos; 8 muñecas y figuras con accesorios; 14 puzles de 500 a 1.500 piezas. Revisado pieza a pieza: los sets de construcción están completos o se indica en la etiqueta. Formato Caja 80×60×60 cm, 27 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/juguetes.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-juguetes.webp,in_stock,319.00 EUR,used,Juguetes,TR-2609-03,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,80,60,60,cm,27,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-04,"Herramientas y bricolaje · Lote de devoluciones de Amazon, 18 unidades","Taladros y atornilladores a batería, sierra de calar, amoladora, maletines y nivel láser. Lote cerrado de 18 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 5 taladros percutores a batería con cargador; 4 atornilladores de impacto; 1 sierra de calar y 1 amoladora angular; 3 maletines de herramienta manual (108 a 216 piezas); 2 niveles láser autonivelantes; 2 juegos de vasos y llaves. Baterías comprobadas: cargan y aguantan el ciclo completo. Formato Caja 60×40×40 cm, 41 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/herramientas.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-herramientas.webp,in_stock,489.00 EUR,used,Bricolaje,TR-2609-04,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,60,40,40,cm,41,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-05,"Moda y calzado · Lote de devoluciones de Amazon, 120 unidades","Zapatillas, sudaderas, vaqueros, chaquetas y mochilas. Prenda en bolsa con etiqueta. Lote cerrado de 120 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A. Contenido: 28 pares de zapatillas (tallas 36 a 46) en su caja; 30 sudaderas y camisetas con etiqueta; 24 vaqueros y pantalones; 18 chaquetas y cortavientos; 20 mochilas, riñoneras y gorras. Devoluciones de talla: prenda sin usar, doblada en bolsa y con etiqueta. Surtido de tallas y colores. Formato Caja gaylord 120×80×80 cm, 46 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/moda.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-moda.webp,in_stock,590.00 EUR,new,Moda,TR-2609-05,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,120,80,80,cm,46,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-06,"Informática y periféricos · Lote de devoluciones de Amazon, 26 unidades","Teclados mecánicos, ratones, dos monitores, webcams, discos SSD, router e impresora. Lote cerrado de 26 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 2 monitores de 27 pulgadas (uno curvo); 6 teclados mecánicos y 6 ratones; 4 webcams Full HD; 4 discos SSD externos de 1 y 2 TB; 1 router Wi-Fi 6 y 1 impresora multifunción; 2 soportes de monitor. Monitores sin píxeles muertos, verificados en mesa. Los SSD se entregan formateados. Formato Caja 80×60×60 cm, 34 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/informatica.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-informatica.webp,in_stock,699.00 EUR,used,Informática,TR-2609-06,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,80,60,60,cm,34,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-07,"Deporte y fitness · Lote de devoluciones de Amazon, 22 unidades","Mancuernas, kettlebells, esterillas, bicicleta estática plegable, bandas, tienda y patinete. Lote cerrado de 22 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado B. Contenido: 1 bicicleta estática plegable con pantalla; 1 patinete eléctrico plegable (batería probada); 4 juegos de mancuernas ajustables y 2 kettlebells; 6 esterillas de yoga y 4 sets de bandas elásticas; 1 tienda de campaña para 4 personas; 3 mochilas de senderismo. Viaja en palé por peso. Grado B: marcas de uso, embalajes abiertos. Formato Palé EUR 120×80×110 cm, 96 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/deporte.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-deporte.webp,in_stock,519.00 EUR,used,Deporte,TR-2609-07,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,120,80,110,cm,96,kg,ES::Transporte paletizado:0.00 EUR
TR-2609-08,"Bebé y puericultura · Lote de devoluciones de Amazon, 15 unidades","Silla de coche, carrito plegable, trona, vigilabebés, esterilizador y mochila portabebé. Lote cerrado de 15 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 2 sillas de coche (grupo 0+/1 y grupo 2/3); 1 carrito plegable de paseo; 2 tronas evolutivas; 2 vigilabebés con cámara; 1 esterilizador y 1 calientabiberones; 3 mochilas portabebé y 4 packs de accesorios. Las sillas de coche se revisan una a una: sin golpes y con todas las piezas. Si no pasan, no salen. Formato Palé EUR 120×80×120 cm, 58 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/bebe.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-bebe.webp,in_stock,559.00 EUR,used,Bebé,TR-2609-08,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,120,80,120,cm,58,kg,ES::Transporte paletizado:0.00 EUR
TR-2609-09,"Belleza y cuidado personal · Lote de devoluciones de Amazon, 52 unidades","Secadores, planchas de pelo, afeitadoras, cepillos eléctricos, depiladoras IPL y básculas. Lote cerrado de 52 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado A/B. Contenido: 10 secadores de pelo (2 profesionales iónicos); 8 planchas y rizadores; 10 afeitadoras y recortadoras; 10 cepillos de dientes eléctricos con cabezales; 6 depiladoras de luz pulsada (IPL); 8 básculas inteligentes. Higiene garantizada: sólo entran unidades sin usar o con cabezal precintado. Formato Caja 60×40×40 cm, 22 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/belleza.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-belleza.webp,in_stock,389.00 EUR,used,Belleza,TR-2609-09,https://www.tornarem.cat/,0.00 EUR,true,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,14,https://www.tornarem.cat/legal.html#garantia,60,40,40,cm,22,kg,ES::Agencia 24 h:0.00 EUR
TR-2609-10,"Palé mixto sin clasificar · Lote de devoluciones de Amazon, 210 unidades","Un palé completo tal cual baja del camión. Hogar, electrónica, juguetes, deporte y sorpresas. Lote cerrado de 210 unidades procedentes de devoluciones y excedentes, clasificadas y revisadas una a una en nuestra nave de Girona. Grado Sin clasificar. Contenido: Unas 210 referencias mezcladas, retractiladas en palé; Reparto habitual: 40 % hogar, 25 % electrónica, 15 % juguete, 20 % varios; Listado de manifiesto (referencias y PVP) por correo tras el pedido; Sin abrir ni revisar: puede haber unidades defectuosas; Precio por debajo del 20 % del PVP para compensarlo. Es el lote para quien revende: máximo margen, máximo riesgo. Se vende cerrado y no admite devolución. Formato Palé EUR 120×80×180 cm, 210 kg. Precio final con IVA y transporte incluidos en península. Se paga contrarreembolso o con tarjeta. Entrega en 24 horas en península (24-48 h en los que viajan en palé). Tornarem es un liquidador independiente. Amazon es una marca registrada de Amazon.com, Inc. o sus filiales; no existe afiliación, patrocinio ni respaldo por su parte.",https://www.tornarem.cat/lotes/pale-mixto.html,Tornarem,Tornarem,https://www.tornarem.cat/assets/img/lote-pale-mixto.webp,in_stock,1290.00 EUR,used,Palés,TR-2609-10,https://www.tornarem.cat/,0.00 EUR,false,ES,ES,false,https://www.tornarem.cat/legal.html#condiciones,https://www.tornarem.cat/legal.html#privacidad,,,120,80,180,cm,210,kg,ES::Transporte paletizado:0.00 EUR
